date,country,holiday_name,is_bank
2025-01-01,egypt,New Year's Day,1
2025-01-06,egypt,Orthodox Christmas Eve,0
2025-01-07,egypt,Orthodox Christmas Day,1
2025-01-25,egypt,Revolution Day January 25,1
2025-03-20,egypt,March Equinox,0
2025-03-31,egypt,Festival of Breaking the Fast,1
2025-04-01,egypt,Second Day of the Festival of Breaking the Fast,1
2025-04-02,egypt,Third Day of the Festival of Breaking the Fast,1
2025-04-20,egypt,Orthodox Easter,1
2025-04-21,egypt,Spring Festival,1
2025-04-25,egypt,Sinai Liberation Day,1
2025-05-01,egypt,Labor Day,0
2025-06-05,egypt,Arafat Day,0
2025-06-06,egypt,Feast of the Sacrifice,0
2025-06-07,egypt,Second Day of the Feast of the Sacrifice,0
2025-06-08,egypt,Third Day of the Feast of the Sacrifice,0
2025-06-21,egypt,June Solstice,0
2025-06-26,egypt,Islamic New Year's Day,1
2025-06-30,egypt,Revolution Day June 30,0
2025-07-03,egypt,Revolution Day June 30 (Observed),0
2025-07-23,egypt,Revolution Day July 23,0
2025-09-04,egypt,Birth of the Prophet,0
2025-09-22,egypt,September Equinox,0
2025-10-06,egypt,Armed Forces Day,0
2025-10-09,egypt,Armed Forces Day (Observed),0
2025-12-21,egypt,December Solstice,0
2025-12-31,egypt,New Year's Eve,0
2025-01-01,ethiopia,New Year's Day,1
2025-01-06,ethiopia,Orthodox Christmas Eve,0
2025-01-07,ethiopia,Orthodox Christmas Day,1
2025-01-19,ethiopia,Orthodox Epiphany,1
2025-02-28,ethiopia,First Day of Ramadan,0
2025-03-02,ethiopia,Victory at Adwa Day,1
2025-03-20,ethiopia,March Equinox,0
2025-03-30,ethiopia,Festival of Breaking the Fast,1
2025-04-18,ethiopia,Orthodox Good Friday,0
2025-04-20,ethiopia,Orthodox Easter,1
2025-05-01,ethiopia,International Workers' Day,0
2025-05-05,ethiopia,Ethiopian Patriots Victory Day,1
2025-05-11,ethiopia,Mother's Day,0
2025-05-28,ethiopia,Derg Downfall Day,0
2025-06-06,ethiopia,Feast of the Sacrifice,1
2025-06-15,ethiopia,Father's Day,1
2025-06-21,ethiopia,June Solstice,0
2025-06-26,ethiopia,Islamic New Year's Day,1
2025-09-04,ethiopia,Birth of the Prophet,1
2025-09-10,ethiopia,Ethiopian New Year's Eve,0
2025-09-11,ethiopia,Ethiopian New Year's Day,1
2025-09-22,ethiopia,September Equinox,0
2025-09-27,ethiopia,Finding of the True Cross,1
2025-12-21,ethiopia,December Solstice,0
2025-12-31,ethiopia,New Year's Eve,0
